Player,era,Primary Team,Pos,Secondary Team,Other Team
Alejandro Crespo,1940-46,Algonoderos de Union Laguna,OF,La Junta de Nuevo Laredo,New York Cubans
Martin Dihigo,1923-45,Algonoderos de Union Laguna,P,La Junta de Nuevo Laredo,Cuban Stars East
Laureano Camacho,1940-44,Algonoderos de Union Laguna,IF/C,La Junta de Nuevo Laredo,
Nate Moreland,1940-45,Alijadores de Tampico,P,Baltimore Elite Giants,
Jimmy Direaux,1937-45,Alijadores de Tampico,IF/OF,Baltimore Elite Giants,
Angel Castro,1940-45,Alijadores de Tampico,C,,
Jimmy Direaux,1937-45,Alijadores de Tampico,P,,
Santos Amaro,1940-45,Alijadores de Tampico,OF,,
Manuel Arroyo,1940-44,Alijadores de Tampico,IF,,
Hector Rodriguez,1943-45,Alijadores de Tampico,IF,Diablos Rojos del Mexico,New York Cubans
Martin Dihigo,1922-45,Alijadores de Union Laguna,IF/OF,Cuban Stars East,New York Cubans
Gervasio Gonzalez,1901-18,Almendares,C/IF,Cuban Stars West,
Emilio Palmero,1913-27,Almendares,P,Habana,
Emilio Palomino,1901-12,Almendares,OF,Habana,
Armando Marsans,1904-27,Almendares,IF/OF,Habana,
Alfredo Cabrera,1901-27,Almendares,IF,Azul,
Jose Munoz,1901-13,Almendares,P,Habana,
Esteban Prats,1901-09,Almendares,IF,Cubano,Azul
Emilio Palomino,1901-12,Almendares,P,,
Regino Garcia,1901-14,Almendares,IF/C,Fe,Cuban Stars West
Rafael Almeida,1903-22,Almendares,IF,Habana,
Rogelio Valdes,1901-15,Almendares,IF/OF,Habana,
Manuel Cueto,1911-27,Almendares,IF,Habana,
Angel D'Meza,1901-07,Almendares,P,San Francisco,Cubano
Jose Mendez,1907-26,Almendares,P,Kanas City  Monarchs,Cuban Stars West
Adolfo Luque,1911-27,Almendares,P,Habana,
Inocencio Perez,1904-07,Almendares,P,,
Armando Cabanas,1901-15,Almendares,IF,Azul,Habana
Andres Ortega,1904-08,Azul,P,Almendares,
Salvador Hernandez,1944-45,Azules de Veracruz,C,,
Pedro Formental,1943-47,Azules de Veracruz,OF,Alijadores de Tampico,
Ramon Bragana,1928-45,Azules de Veracruz,P,,
Agustin Bejerano,1928-45,Azules de Veracruz,OF,La Junta de Nuevo Laredo,New York Lincoln Giants
Ramon Bragana,1927-45,Azules de Veracruz,P/IF,Cuban Stars East,Stars of Cuba
Ray Dandridge,1933-45,Azules de Veracruz,IF,Newark Eagles,
Hubert Lockhart,1923-29,Bacharach Giants,P,,
Charlie Mason,1922-32,Bacharach Giants,OF,New York Lincoln Giants,
Claude Grier,1924-27,Bacharach Giants,P,Washington Potomacs,
Milton Lewis,1922-28,Bacharach Giants,IF,,
Shang Johnson,1917-25,Bacharach Giants,P,Hilldale,
John Harper,1922-25,Bacharach Giants,P,,
Bill Handy,1910-22,Bacharach Giants,IF,Brooklyn Royal Giants,
Dick Lundy,1916-37,Bacharach Giants,IF,Baltimore Black Sox,
Rats Henderson,1921-31,Bacharach Giants,P,,
Oliver Marcell,1918-30,Bacharach Giants,IF,New York Lincoln Giants,
Dick Redding,1911-36,Bacharach Giants,P,Brooklyn Royal Giants,New York Lincoln Giants
Chaney White,1920-36,Bacharach Giants,OF,Hilldale,Philadelphia Stars
Doc Sykes,1914-24,Baltimore Black Sox,P,New York Lincoln Stars,
Bob McClure,1920-30,Baltimore Black Sox,P,Indianapolis ABCs,
John Beckwith,1919-37,Baltimore Black Sox,IF,Chicago American Giants,
Joe Strong,1922-37,Baltimore Black Sox,P,Homestead Grays,
Laymon Yokely,1926-44,Baltimore Black Sox,P,Philadelphia Stars,
Mack Eggleston,1919-34,Baltimore Black Sox,OF/C,Washington Potomacs,Bacharach Giants / Columbus Buckeyes / Indianapolis ABCs
Jud Wilson,1922-45,Baltimore Black Sox,IF/OF,Homestead Grays,Philadelphia Stars
Wild Bill Wright,1932-45,Baltimore Elite Giants,OF,,
Roy Campanella,1937-45,Baltimore Elite Giants,C,,
Joe Black,1943-48,Baltimore Elite Giants,P,,
Bill Hoskins,1937-46,Baltimore Elite Giants,OF,,
Andy Porter,1932-48,Baltimore Elite Giants,P,,
Bill Byrd,1933-48,Baltimore Elite Giants,P,,
Leroy Morney,1932-44,Baltimore Elite Giants,IF,Pittsburgh Crawfords,Birmingham Black Barons
Sammy Hughes,1930-46,Baltimore Elite Giants,IF,,
Johnny Washington,1936-48,Baltimore Elite Giants,IF,,
Bob Romby,1946-48,Baltimore Elite Giants,P,,
Henry Kimbro,1937-48,Baltimore Elite Giants,OF,,
George Scales,1921-46,Baltimore Elite Giants,IF,New York Lincoln Giants,
Tommy Butts,1938-48,Baltimore Elite Giants,IF,Sultanes de Monterrey,Atlanta Black Crackers
Red Moore,1936-40,Baltimore Elite Giants,IF,Atlanta Black Crackers,Newark Eagles
